City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Necochea,21,AR,1611523494,30,-38.5473,-58.7368,92.19,19.33
Paraíso,20,CR,1611523752,47,9.8383,-83.8656,77.0,16.11
Dothan,90,US,1611523609,68,31.2232,-85.3905,66.2,8.05
Mar del Plata,20,AR,1611523456,83,-38.0023,-57.5575,78.8,17.27
Novobirilyussy,89,RU,1611523752,83,56.9514,90.6661,-32.42,5.59
Butaritari,45,KI,1611523522,78,3.0707,172.7902,78.89,9.84
Vallenar,60,CL,1611523752,29,-28.5708,-70.7581,82.4,8.3
Nikolskoye,90,RU,1611523498,87,59.7035,30.7861,35.6,11.18
Pangnirtung,20,CA,1611523513,67,66.1451,-65.7125,12.2,2.3
George Town,40,MY,1611523496,89,5.4112,100.3354,80.01,3.44
Bilma,0,NE,1611523753,23,18.6853,12.9164,62.01,7.92
Saldanha,0,ZA,1611523500,59,-33.0117,17.9442,64.4,8.05
Najrān,59,SA,1611523507,28,17.4924,44.1277,53.6,1.45
College,98,US,1611523545,90,64.8569,-147.8028,10.0,2.17
Alamogordo,75,US,1611523610,29,32.8995,-105.9603,59.0,14.97
Moro,0,PK,1611523753,81,26.6646,68.0016,48.2,5.37
Pisco,0,PE,1611523555,54,-13.7,-76.2167,80.6,13.8
Klaksvík,20,FO,1611523324,80,62.2266,-6.589,35.6,16.11
Clyde River,1,CA,1611523511,100,70.4692,-68.5914,8.6,20.71
Kindu,100,CD,1611523754,97,-2.95,25.95,69.85,2.24
Salaga,0,GH,1611523754,15,8.5508,-0.5188,81.37,1.86
Deputatsky,88,RU,1611523318,82,69.3,139.9,-39.51,4.81
Ormara,0,PK,1611523754,40,25.2088,64.6357,64.81,3.56
São Sebastião,92,BR,1611523754,81,-23.76,-45.4097,78.01,3.18
Biak,100,ID,1611523534,82,-0.9131,122.8766,75.88,8.25
Lagoa,100,PT,1611523532,94,39.05,-27.9833,61.88,20.42
Aksarka,100,RU,1611523755,83,66.5606,67.7975,-29.04,7.61
Longyearbyen,20,SJ,1611523342,57,78.2186,15.6401,15.8,5.75
Maraã,68,BR,1611523755,69,-1.8333,-65.3667,83.44,3.33
Hithadhoo,98,MV,1611523270,71,-0.6,73.0833,81.81,3.67
Provideniya,75,RU,1611523522,78,64.3833,-173.3,3.2,6.71
Severo-Yeniseyskiy,98,RU,1611523755,87,60.3725,93.0408,-27.2,0.85
Māngrol,0,IN,1611523755,28,21.1167,70.1167,64.13,9.75
Aykhal,10,RU,1611523544,80,66.0,111.5,-36.26,3.44
Mandera,59,KE,1611523756,24,3.9366,41.867,84.97,12.39
Dikson,100,RU,1611523506,89,73.5069,80.5464,-13.58,12.59
Oistins,40,BB,1611523756,69,13.0667,-59.5333,80.6,17.27
Norman Wells,75,CA,1611523510,77,65.282,-126.8329,-11.2,4.61
Salou,20,ES,1611523756,71,41.0766,1.1416,55.99,2.3
Agadez,0,NE,1611523756,25,19.75,10.25,58.5,7.02
Paraná,59,AR,1611523733,44,-31.732,-60.5238,96.01,5.99
Susurluk,75,TR,1611523506,67,39.9136,28.1578,55.4,9.22
Yulara,4,AU,1611523531,78,-25.2406,130.9889,77.0,8.05
Saint-Philippe,90,RE,1611523498,78,-21.3585,55.7679,78.8,6.91
Abhā,0,SA,1611523268,41,18.2164,42.5053,59.0,1.03
Kuusamo,90,FI,1611523757,100,65.9667,29.1833,21.2,2.3
Presidencia Roque Sáenz Peña,81,AR,1611523757,56,-26.7852,-60.4388,86.85,6.53
Yārāda,20,IN,1611523758,100,17.65,83.2667,71.6,2.3
Souillac,40,MU,1611523314,88,-20.5167,57.5167,77.0,6.91
Birao,67,CF,1611523758,17,10.2849,22.7882,77.09,6.85
Kruisfontein,70,ZA,1611523505,82,-34.0033,24.7314,64.0,5.01
Vyartsilya,100,RU,1611523758,96,62.1764,30.693,34.48,7.67
Urucará,16,BR,1611523758,53,-2.5364,-57.76,89.06,2.89
Dingle,33,PH,1611523559,92,10.9995,122.6711,74.97,6.55
Kavieng,90,PG,1611523389,72,-2.5744,150.7967,82.92,5.59
Constitución,21,CL,1611523518,66,-35.3333,-72.4167,65.71,12.35
El Seibo,75,DO,1611523759,83,18.7641,-69.0375,78.8,17.27
Japura,74,ID,1611523759,97,-0.3167,102.35,72.7,1.68
Arrondissement de Reims,90,FR,1611523759,93,49.1667,4.0833,35.6,5.75
Tiksi,38,RU,1611523513,79,71.6872,128.8694,-44.73,8.3
Vila Velha,40,BR,1611523540,73,-20.3297,-40.2925,79.0,4.61
Esna,0,EG,1611523759,67,25.2934,32.554,55.4,4.61
Evensk,0,RU,1611523759,77,61.95,159.2333,-20.38,11.41
Iquitos,75,PE,1611523760,66,-3.7481,-73.2472,87.8,4.61
Bacolod City,4,PH,1611523760,84,10.6667,122.95,76.5,6.26
Menongue,62,AO,1611523760,56,-14.6585,17.691,65.46,2.55
Leh,93,IN,1611523760,77,34.1667,77.5833,7.86,0.54
Katsuura,40,JP,1611523330,87,35.1333,140.3,43.0,12.66
Rurrenabaque,75,BO,1611523558,66,-14.4413,-67.5278,87.8,3.09
Mahébourg,40,MU,1611523496,88,-20.4081,57.7,77.0,6.91
Penzance,75,GB,1611523761,75,50.1186,-5.5371,39.2,20.71
Tvøroyri,20,FO,1611523761,75,61.5556,-6.8111,35.6,10.36
Kieta,33,PG,1611523761,68,-6.2167,155.6333,80.1,4.9
Ribeira Grande,75,PT,1611523499,94,38.5167,-28.7,64.4,19.57
Victor Harbor,100,AU,1611523548,64,-35.5667,138.6167,73.99,1.01
Fortuna,75,US,1611523495,100,40.5982,-124.1573,46.0,2.53
Comodoro Rivadavia,75,AR,1611523680,53,-45.8667,-67.5,78.8,9.22
Arraial do Cabo,40,BR,1611523548,78,-22.9661,-42.0278,80.6,17.27
Itarema,100,BR,1611523533,74,-2.9248,-39.9167,81.05,15.3
Port-Gentil,20,GA,1611523762,89,-0.7193,8.7815,80.6,4.61
Kurumkan,100,RU,1611523525,81,54.3,110.3,3.52,3.38
Hasaki,75,JP,1611523542,93,35.7333,140.8333,37.4,9.22
Halden,90,NO,1611523762,93,59.1226,11.3871,32.0,8.05
Chui,0,UY,1611523327,71,-33.6971,-53.4616,77.74,10.63
Viedma,0,AR,1611523763,11,-40.8135,-62.9967,103.91,16.42
Barra da Estiva,42,BR,1611523763,81,-13.6261,-41.3269,69.6,7.72
Bluefields,40,NI,1611523763,83,12.0137,-83.7635,80.6,4.61
San Luis,62,AR,1611523558,23,-33.295,-66.3356,93.29,8.3
Majengo,99,TZ,1611523763,95,-5.15,38.9833,73.04,5.68
Saraland,94,US,1611523763,92,30.8207,-88.0706,66.0,1.01
Arlit,1,NE,1611523764,20,18.7369,7.3853,64.49,11.27
Meadow Lake,75,US,1611523764,28,34.8014,-106.5436,52.0,23.02
Buala,20,SB,1611523764,66,-8.145,159.5921,81.37,4.79
Airai,96,TL,1611523501,100,-8.9266,125.4092,61.2,1.45
Kumul,18,CN,1611523517,81,42.8,93.45,17.49,5.3
Faanui,0,PF,1611523764,73,-16.4833,-151.75,81.32,12.71
Kaitangata,100,NZ,1611523497,76,-46.2817,169.8464,58.33,6.42
Sinegor'ye,94,RU,1611523765,79,62.0788,150.477,-32.3,1.19
Mana,74,GF,1611523765,77,5.6592,-53.7767,78.69,10.33
Vardø,75,NO,1611523765,86,70.3705,31.1107,24.8,17.27
Joutseno,100,FI,1611523765,96,61.118,28.5076,34.0,1.01
Port Elizabeth,90,ZA,1611523425,88,-33.918,25.5701,64.4,9.22
Upernavik,34,GL,1611523510,94,72.7868,-56.1549,14.4,14.83
Shuangcheng,75,CN,1611523766,84,45.35,126.2833,-2.2,2.24
Saint George,1,US,1611523279,49,37.1041,-113.5841,52.0,4.81
Uyemskiy,90,RU,1611523766,93,64.4743,40.8524,28.4,4.47
Vestmannaeyjar,99,IS,1611523513,86,63.4427,-20.2734,31.8,10.22
Coquimbo,0,CL,1611523533,64,-29.9533,-71.3436,69.8,13.8
Āsosa,47,ET,1611523766,41,10.0667,34.5333,69.13,4.61
Northam,97,GB,1611523766,81,51.0333,-4.2167,37.99,13.0
Fayaoué,57,NC,1611523767,80,-20.65,166.5333,79.18,28.41
Los Llanos de Aridane,75,ES,1611523512,77,28.6585,-17.9182,66.2,6.91
Caoayan,0,PH,1611523767,76,17.5619,120.3975,75.33,5.01
Sarangani,87,PH,1611523767,78,5.4033,125.4636,81.63,19.13
Bathsheba,40,BB,1611523536,69,13.2167,-59.5167,80.6,17.27
Tuy Hoa,81,VN,1611523767,89,13.0833,109.3,65.55,3.78
Port Hedland,93,AU,1611523767,73,-20.3167,118.5667,78.8,10.36
Antofagasta,20,CL,1611523563,68,-23.65,-70.4,69.8,13.8
Flinders,53,AU,1611523307,83,-34.5833,150.8552,75.99,1.01
Thompson,75,CA,1611523510,77,55.7435,-97.8558,-9.4,11.5
Ostrovnoy,100,RU,1611523768,95,68.0531,39.5131,13.14,10.98
Grand Baie,9,MU,1611523768,90,-20.0182,57.5802,75.0,1.99
Mehamn,40,NO,1611523518,73,71.0357,27.8492,21.2,8.05
Lüderitz,100,NA,1611523497,56,-26.6481,15.1594,69.13,26.26
Umluj,0,SA,1611523768,54,25.0213,37.2685,72.41,8.9
Acapulco de Juárez,40,MX,1611523562,70,16.8634,-99.8901,86.0,9.22
Umba,98,RU,1611523769,98,66.6871,34.3429,23.43,4.94
Kanigoro,82,ID,1611523769,82,-8.13,112.219,72.73,3.18
Nuuk,20,GL,1611523769,63,64.1835,-51.7216,19.4,13.8
Half Moon Bay,75,US,1611523558,81,37.4636,-122.4286,52.0,8.05
Araouane,82,ML,1611523522,17,18.9048,-3.5265,70.68,9.51
Broome,1,US,1611523769,62,42.2506,-75.833,21.99,12.66
Vao,100,NC,1611523769,76,-22.6667,167.4833,76.24,23.69
Aasiaat,0,GL,1611523770,81,68.7098,-52.8699,9.79,3.58
Robertsport,0,LR,1611523770,83,6.7533,-11.3686,79.38,10.56
Beruwala,100,LK,1611523770,83,6.4788,79.9828,75.99,3.67
Marsh Harbour,100,BS,1611523514,83,26.5412,-77.0636,70.48,19.66
Cockburn Town,75,TC,1611523551,73,21.4612,-71.1419,77.0,10.36
Yerbogachën,97,RU,1611523770,82,61.2767,108.0108,-34.71,2.84
Ahipara,40,NZ,1611523770,85,-35.1667,173.1667,69.57,8.79
Panabá,47,MX,1611523771,62,21.2833,-88.2667,83.57,10.33
Cobija,100,BO,1611523771,97,-11.0267,-68.7692,71.8,2.62
South River,99,US,1611523524,36,40.4465,-74.386,33.01,12.01
Kenora,40,CA,1611523771,71,49.8167,-94.4337,-2.0,9.22
Mitsamiouli,100,KM,1611523546,72,-11.3847,43.2844,81.23,5.35
Lae,40,PG,1611523771,83,-6.7221,146.9847,77.0,8.05
Prainha,96,BR,1611523771,89,-1.8,-53.48,79.61,3.78
Linhares,7,BR,1611523513,78,-19.3911,-40.0722,77.56,5.91
Bonavista,0,CA,1611523772,74,48.6499,-53.1147,27.0,5.75
Athabasca,100,CA,1611523772,77,54.7169,-113.2854,-7.6,8.05
Iqaluit,20,CA,1611523419,78,63.7506,-68.5145,1.4,2.3
Naze,89,JP,1611523549,85,28.3667,129.4833,62.49,14.94
Alice Springs,40,AU,1611523310,65,-23.7,133.8833,78.8,8.05
Natchitoches,90,US,1611523773,94,31.7668,-93.1335,68.0,6.91
Luwuk,100,ID,1611523773,75,-0.9516,122.7875,77.65,6.38
Trairi,100,BR,1611523773,75,-3.2778,-39.2689,80.6,11.01
Sayyan,63,YE,1611523773,50,15.1718,44.3244,45.82,3.78
Altay,100,CN,1611523773,89,47.8667,88.1167,3.2,0.76
Acaraú,100,BR,1611523773,72,-2.8856,-40.12,81.66,17.4
Tilichiki,100,RU,1611523532,91,60.4667,166.1,-9.42,15.77
Wattegama,100,LK,1611523774,89,6.7989,81.4808,69.12,5.53
Maltahöhe,67,NA,1611523774,38,-24.8333,16.9833,78.28,13.67
Yambio,38,SS,1611523774,47,4.5721,28.3955,77.11,1.36
Banda Aceh,11,ID,1611523774,82,5.5577,95.3222,76.68,10.04
Nogliki,2,RU,1611523774,81,51.8333,143.1667,-21.91,10.83
Puerto Ayacucho,100,VE,1611523774,73,5.6639,-67.6236,84.18,3.78
Durban,90,ZA,1611523632,94,-29.8579,31.0292,66.2,12.66
Ponta Delgada,75,PT,1611523774,94,37.7333,-25.6667,64.0,13.8
Horasan,55,TR,1611523775,77,40.0458,42.1728,7.77,0.92
Muros,100,ES,1611523538,92,42.7762,-9.0603,53.01,5.01
Bandar-e Anzali,0,IR,1611523775,72,37.4727,49.4622,44.29,2.91
Tadine,96,NC,1611523775,79,-21.55,167.8833,76.93,20.0
Makarov,0,RU,1611523775,87,48.6333,142.8,-3.24,3.74
Samarai,81,PG,1611523775,85,-10.6167,150.6667,78.35,13.47
Blackwater,3,AU,1611523775,76,-23.5833,148.8833,72.88,9.69
Lovozero,83,RU,1611523776,93,68.005,35.0117,8.24,1.57
St. George's,20,GD,1611523776,70,12.0564,-61.7485,84.2,18.41
Payson,90,US,1611523776,75,40.0444,-111.7321,37.0,6.91
Verkhnevilyuysk,49,RU,1611523776,75,63.4453,120.3167,-48.89,3.29
Fort Nelson,90,CA,1611523593,71,58.8053,-122.7002,1.4,2.1
Onguday,87,RU,1611523776,82,50.75,86.15,-6.27,1.9
Pirganj,0,BD,1611523776,53,25.8523,88.3618,60.62,2.98
Timmins,90,CA,1611523776,79,48.4669,-81.3331,14.0,9.22
Newport,85,GB,1611523777,94,51.5877,-2.9984,36.0,3.0
Saint-Pierre,90,RE,1611523533,78,-21.3393,55.4781,78.8,6.91
Waddān,0,LY,1611523777,36,29.1614,16.139,57.47,4.99
Guerrero Negro,9,MX,1611523777,47,27.9769,-114.0611,62.74,20.56
Verāval,0,IN,1611523777,26,20.9,70.3667,66.63,11.48
Dukat,81,RU,1611523481,79,62.55,155.55,-40.05,4.5
Santo Tomas,75,PH,1611523778,89,14.1079,121.1414,80.01,2.3
Itoman,40,JP,1611523778,82,26.1247,127.6694,64.4,4.61
Maragogi,56,BR,1611523348,79,-9.0122,-35.2225,78.82,11.54
Mahajanga,20,MG,1611523778,88,-15.7167,46.3167,77.0,4.61
Chokurdakh,100,RU,1611523526,82,70.6333,147.9167,-31.34,11.68
Virginia Beach,75,US,1611523624,45,36.8529,-75.978,42.01,5.75
The Valley,20,AI,1611523519,73,18.217,-63.0578,80.6,9.22
Sisophon,35,KH,1611523778,78,13.5859,102.9737,74.5,4.72
Carauari,74,BR,1611523779,85,-4.8828,-66.8958,82.22,0.54
Sioux Lookout,75,CA,1611523779,78,50.1001,-91.917,3.2,12.66
Tucuruí,67,BR,1611523779,84,-3.7661,-49.6725,81.05,3.62
Clarence Town,13,AU,1611523779,83,-32.5833,151.7833,71.6,5.75
Changping,100,CN,1611523779,80,40.2186,116.2197,32.0,2.24
Leirvik,19,NO,1611523779,83,59.7798,5.5005,30.99,3.0
Beloha,12,MG,1611523780,86,-25.1667,45.05,76.41,9.82
Kahului,20,US,1611523539,51,20.8947,-156.47,82.4,3.44
Belmonte,90,BR,1611523500,94,-15.8631,-38.8828,78.8,2.3
Makassar,40,ID,1611523780,100,-5.14,119.4221,73.4,2.3
Lethem,17,GY,1611523781,56,3.3803,-59.7968,86.27,12.8
Kenai,90,US,1611523541,86,60.5544,-151.2583,34.0,4.61
Katherine,90,AU,1611523781,94,-14.4667,132.2667,77.0,4.03
Puerto Ayora,40,EC,1611523499,65,-0.7393,-90.3518,84.2,14.97
Xining,100,CN,1611523527,93,36.6167,101.7667,16.18,0.87
Alofi,75,NU,1611523506,74,-19.0595,-169.9187,82.4,5.75
Abéché,9,TD,1611523781,18,13.8292,20.8324,75.2,11.32
Araguaçu,50,BR,1611523781,64,-12.9306,-49.8264,85.69,2.82
Vostok,2,RU,1611523782,92,46.4856,135.8833,0.21,2.51
Ayagoz,0,KZ,1611523782,88,47.9714,80.4392,-16.56,5.53
Cabo San Lucas,1,MX,1611523439,52,22.8909,-109.9124,72.0,18.41
Māvelikara,38,IN,1611523782,89,9.2667,76.55,71.85,5.23
Cândido de Abreu,100,BR,1611523782,87,-24.5669,-51.3333,75.25,1.43
Lazurne,75,UA,1611523782,93,46.084,32.5295,48.2,13.42
Amapá,6,BR,1611523782,77,1.0,-52.0,80.1,4.54
Uribia,64,CO,1611523783,43,11.7139,-72.266,88.45,21.03
Lompoc,90,US,1611523524,67,34.6391,-120.4579,55.4,13.8
Răuseni,1,RO,1611523783,96,47.5667,27.2,41.0,1.99
Wanning,29,CN,1611523783,86,18.8003,110.3967,67.6,3.42
Lubango,100,AO,1611523783,74,-14.9172,13.4925,59.65,3.44
Esperance,75,AU,1611523305,94,-33.8667,121.9,57.2,3.44
Saryagash,63,KZ,1611523783,86,41.4511,69.1701,28.4,4.61
Horki,100,BY,1611523784,98,54.2861,30.9842,37.15,16.33
Yar-Sale,100,RU,1611523556,80,66.8333,70.8333,-34.67,10.65
Chernigovka,0,RU,1611523784,91,44.3389,132.5728,5.29,4.68
Caucayá,41,CO,1611523784,90,-0.1934,-74.7819,80.08,2.44
Ogulin,100,HR,1611523784,94,45.2661,15.2286,42.01,3.0
Skudai,20,MY,1611523784,94,1.5333,103.6667,77.0,4.25
Bengkulu,92,ID,1611523495,80,-3.8004,102.2655,77.63,4.43
Pacific Grove,90,US,1611523690,71,36.6177,-121.9166,52.0,9.22
Havre-St-Pierre,90,CA,1611523549,64,50.2334,-63.5986,35.6,17.27
Vila,100,PT,1611523785,93,42.0304,-8.1588,48.0,5.99
Tiarei,20,PF,1611523785,62,-17.5333,-149.3333,87.8,18.41
Dejen,53,ET,1611523785,46,10.1667,38.1333,55.74,2.37
Mattru,0,SL,1611523785,80,7.6244,-11.8332,75.31,4.12
Bandarbeyla,98,SO,1611523535,69,9.4942,50.8122,74.84,20.4
Beihai,46,CN,1611523786,93,21.4833,109.1,64.45,9.78
Sabha,0,LY,1611523544,38,27.0377,14.4283,54.9,7.38
Cabedelo,75,BR,1611523786,78,-6.9811,-34.8339,80.6,8.05
Awjilah,0,LY,1611523786,33,29.1081,21.2869,57.83,10.36
Taitung City,97,TW,1611523786,75,22.7583,121.1444,64.08,9.26
Sassandra,0,CI,1611523786,87,4.95,-6.0833,78.37,7.36
Ziway,0,ET,1611523786,46,7.9333,38.7167,63.66,13.38
Tomatlán,15,MX,1611523334,45,19.9333,-105.25,85.68,10.07
Cam Ranh,0,VN,1611523787,88,11.9214,109.1591,69.8,3.44
Adrar,100,MR,1611523532,17,20.5022,-10.0711,68.86,8.66
Pathein,83,MM,1611523748,85,16.7833,94.7333,64.06,5.28
Yelizovo,90,RU,1611523787,71,53.1873,158.3805,-0.4,8.95
Bourne,75,GB,1611523586,100,52.7667,-0.3833,32.0,4.61
Monrovia,20,LR,1611523787,94,6.3005,-10.7969,78.8,8.34
Togur,56,RU,1611523787,76,58.3631,82.8265,-50.93,3.78
Flin Flon,1,CA,1611523788,70,54.7682,-101.865,-13.0,11.5
Emba,100,KZ,1611523788,98,48.8264,58.1442,22.91,6.64
Ville-Marie,90,CA,1611523788,66,47.3335,-79.433,6.8,4.61
Departamento de Maldonado,20,UY,1611523788,65,-34.6667,-54.9167,80.6,14.97
Chicama,40,PE,1611523494,83,-7.8447,-79.1469,73.4,9.22
Yabrūd,0,SY,1611523788,60,33.9674,36.6574,41.0,4.0
Pāveh,0,IR,1611523589,74,35.0434,46.3565,32.11,5.48
Beringovskiy,80,RU,1611523348,89,63.05,179.3167,-3.71,12.21
Fomboni,80,KM,1611523789,70,-12.28,43.7425,82.9,7.0
Kiryat Gat,0,IL,1611523558,100,31.61,34.7642,53.01,4.0
Puerto Baquerizo Moreno,75,EC,1611523789,83,-0.9,-89.6,82.4,11.5
Tynda,24,RU,1611523789,76,55.1667,124.7167,-31.88,1.07
La Ronge,45,CA,1611523789,69,55.1001,-105.2842,-20.2,3.44
Okhotsk,7,RU,1611523789,78,59.3833,143.3,-21.8,16.96
Severobaykal'sk,100,RU,1611523789,81,55.65,109.3167,-0.72,6.08
San Julián,99,MX,1611523790,21,21.0167,-102.1667,75.24,13.49
Dubbo,72,AU,1611523790,36,-32.25,148.6167,80.6,5.75
Sobolevo,100,RU,1611523790,98,54.4299,31.8996,36.86,16.06
Sorong,100,ID,1611523790,79,-0.8833,131.25,80.22,5.7
Williston,100,US,1611523701,81,48.147,-103.618,10.99,1.99
Taoudenni,22,ML,1611523537,20,22.6783,-3.9836,71.42,10.67
Gorontalo,100,ID,1611523790,87,0.5412,123.0595,74.44,1.86
Cayenne,75,GF,1611523500,78,4.9333,-52.3333,80.6,8.05
Porbandar,0,IN,1611523791,27,21.6422,69.6093,64.0,11.86
